luna	date	run	trial	xdat	lat	Count
10152	20111123	2	30	150	373	1
10152	20111123	2	31	201	401	1
10152	20111123	2	32	201	365	1
10152	20111123	2	33	147	469	1
10152	20111123	2	34	129	369	1
10152	20111123	2	35	202	405	1
10152	20111123	2	36	202	425	1
10152	20111123	2	37	130	373	1
10152	20111123	2	38	147	405	1
10152	20111123	2	39	128	641	1
10152	20111123	2	40	203	353	1
10152	20111123	2	41	150	384	1
10152	20111123	2	42	201	369	1
10152	20111123	3	1	147	385	1
10152	20111123	3	2	127	377	1
10152	20111123	3	3	129	401	1
10152	20111123	3	4	147	377	1
10152	20111123	3	5	202	357	1
10152	20111123	3	6	129	425	1
10152	20111123	3	7	127	453	1
10152	20111123	3	8	204	385	1
10152	20111123	3	9	201	385	1
10152	20111123	3	10	150	361	1
10152	20111123	3	11	203	437	1
10152	20111123	3	12	201	413	1
10152	20111123	3	13	128	361	1
10152	20111123	3	14	147	377	2
10152	20111123	3	15	149	381	1
10152	20111123	3	16	202	317	1
10152	20111123	3	17	128	353	1
10152	20111123	3	18	202	405	1
10152	20111123	3	19	150	425	1
10152	20111123	3	20	128	373	1
10152	20111123	3	21	129	385	1
10152	20111123	3	22	148	341	1
10152	20111123	3	23	148	441	1
10152	20111123	3	24	130	385	1
10152	20111123	3	25	204	389	1
10152	20111123	3	26	147	189	2
10152	20111123	3	27	203	445	1
10152	20111123	3	28	130	349	1
10152	20111123	3	29	149	373	1
10152	20111123	3	30	203	NA	-1
10152	20111123	3	31	130	324	1
10152	20111123	3	32	149	381	1
10152	20111123	3	33	127	360	1
10152	20111123	3	34	150	353	1
10152	20111123	3	35	204	341	1
10152	20111123	3	36	148	317	2
10152	20111123	3	37	127	345	1
10152	20111123	3	38	204	361	1
10152	20111123	3	39	130	365	1
10152	20111123	3	40	150	371	1
10152	20111123	3	41	201	397	1
10152	20111123	3	42	201	361	1
10152	20111123	4	1	147	361	1
