luna	date	ncor	n	acc	ndropped	meanlat
11244	20140211	155	168	0.922619047619048	12	455.896774193548
11245	20140207	105	168	0.625	36	467.028571428571
11248	20140221	154	168	0.916666666666667	11	364.201298701299
11249	20140220	152	168	0.904761904761905	3	478.217105263158
11251	20140227	163	168	0.970238095238095	4	419.300613496932
11254	20140228	147	168	0.875	16	380.190476190476
11257	20140306	154	168	0.916666666666667	10	370.88961038961
11259	20140313	132	168	0.785714285714286	24	441.810606060606
11261	20140318	136	168	0.80952380952381	30	494.970588235294
11265	20140314	110	168	0.654761904761905	31	500.909090909091
11266	20140321	153	168	0.910714285714286	10	464.993464052288
11267	20140401	126	168	0.75	34	422.626984126984
11268	20140328	155	168	0.922619047619048	13	407.01935483871
11269	20140505	160	168	0.952380952380952	5	440.03125
11270	20140328	129	158	0.816455696202532	24	432.496124031008
11271	20140402	150	168	0.892857142857143	15	596.033333333333
11272	20140408	124	168	0.738095238095238	19	407.548387096774
11273	20140410	132	139	0.949640287769784	6	410.295454545455
11275	20140422	124	168	0.738095238095238	42	393.814516129032
11276	20140502	114	168	0.678571428571429	23	412.140350877193
11278	20140407	78	126	0.619047619047619	45	409.410256410256
11282	20140516	131	168	0.779761904761905	31	444.282442748092
11283	20140501	41	57	0.719298245614035	12	413.731707317073
11284	20140429	141	168	0.839285714285714	19	423.716312056738
11285	20140522	25	25	1	0	458.92
11289	20140602	121	164	0.73780487804878	31	476.314049586777
11291	20140619	164	168	0.976190476190476	0	370.256097560976
11292	20140616	161	168	0.958333333333333	2	406.316770186335
11293	20140609	156	167	0.934131736526946	8	462.429487179487
11295	20140620	151	168	0.898809523809524	15	447.516556291391
11296	20140708	0	42	0	42	NA
11297	20140617	151	168	0.898809523809524	3	429.344370860927
11299	20140627	131	168	0.779761904761905	21	430.656488549618
11301	20140724	106	126	0.841269841269841	17	524.509433962264
11307	20140725	0	43	0	43	NA
