luna	date	rtype	ncor	n	acc	ndropped	meanlat
10664	20090417	rew	46	56	0.821428571428571	9	360.521739130435
10665	20090417	pun	49	56	0.875	2	352.224489795918
10665	20090417	neut	53	56	0.946428571428571	1	358.471698113208
10665	20090417	rew	51	56	0.910714285714286	1	356.313725490196
10665	20101215	pun	42	56	0.75	11	361.071428571429
10665	20101215	rew	27	40	0.675	8	354.962962962963
10665	20120611	pun	52	56	0.928571428571429	2	330.942307692308
10665	20120611	neut	50	56	0.892857142857143	0	339.92
10665	20120611	rew	49	56	0.875	2	345.571428571429
10666	20090722	pun	52	56	0.928571428571429	2	427.192307692308
10666	20090722	neut	53	56	0.946428571428571	2	434.981132075472
10666	20090722	rew	40	56	0.714285714285714	11	443.625
10666	20110425	pun	53	56	0.946428571428571	3	442.88679245283
10666	20110425	neut	51	56	0.910714285714286	5	435.333333333333
10666	20110425	rew	48	56	0.857142857142857	6	453.875
10667	20090722	pun	53	56	0.946428571428571	2	439.490566037736
10667	20090722	neut	55	56	0.982142857142857	1	432.163636363636
10667	20090722	rew	53	56	0.946428571428571	1	459.301886792453
10667	20110415	pun	48	56	0.857142857142857	8	439.8125
10667	20110415	neut	52	56	0.928571428571429	2	425.019230769231
10667	20110415	rew	48	56	0.857142857142857	7	418.270833333333
10667	20120907	pun	48	56	0.857142857142857	6	446.625
10667	20120907	neut	52	56	0.928571428571429	4	449.25
10667	20120907	rew	52	56	0.928571428571429	4	489.903846153846
10671	20090606	pun	36	56	0.642857142857143	20	377.333333333333
10671	20090606	neut	40	56	0.714285714285714	16	350.55
10671	20090606	rew	40	56	0.714285714285714	16	350.15
10671	20110205	pun	54	56	0.964285714285714	1	341.425925925926
10671	20110205	neut	55	56	0.982142857142857	0	338.218181818182
10671	20110205	rew	51	56	0.910714285714286	3	346.470588235294
10672	20090606	pun	16	56	0.285714285714286	27	390.9375
10672	20090606	neut	23	56	0.410714285714286	24	390.782608695652
10672	20090606	rew	20	56	0.357142857142857	28	448.25
10672	20131025	pun	49	56	0.875	3	367.30612244898
10672	20131025	neut	52	56	0.928571428571429	2	376.961538461538
10672	20131025	rew	51	56	0.910714285714286	2	381.941176470588
10673	20090519	pun	43	56	0.767857142857143	12	526.186046511628
10673	20090519	neut	43	56	0.767857142857143	10	493.906976744186
10673	20090519	rew	48	56	0.857142857142857	6	519.270833333333
10673	20110221	pun	41	56	0.732142857142857	11	445.926829268293
10673	20110221	neut	37	56	0.660714285714286	18	447.756756756757
10673	20110221	rew	45	56	0.803571428571429	10	499.6
10673	20120821	neut	40	56	0.714285714285714	12	457.1
10673	20120821	rew	22	28	0.785714285714286	3	487.318181818182
10674	20090519	pun	48	56	0.857142857142857	3	475.083333333333
10674	20090519	neut	41	56	0.732142857142857	6	495.365853658537
10674	20090519	rew	36	56	0.642857142857143	10	525.138888888889
10675	20090519	pun	51	56	0.910714285714286	4	511.098039215686
10675	20090519	neut	44	56	0.785714285714286	3	505.113636363636
10675	20090519	rew	46	56	0.821428571428571	2	517.695652173913
10676	20090521	pun	41	56	0.732142857142857	13	377.341463414634
10676	20090521	neut	47	56	0.839285714285714	6	365.893617021277
10676	20090521	rew	43	56	0.767857142857143	9	380.697674418605
10677	20090606	pun	51	56	0.910714285714286	2	439.196078431373
10677	20090606	neut	47	56	0.839285714285714	9	427.170212765957
10677	20090606	rew	50	56	0.892857142857143	6	459.66
10677	20110604	pun	48	56	0.857142857142857	5	405
10677	20110604	neut	49	56	0.875	6	410.326530612245
10677	20110604	rew	47	56	0.839285714285714	9	416.382978723404
10677	20120803	pun	51	56	0.910714285714286	4	380.549019607843
10677	20120803	neut	51	56	0.910714285714286	1	375.058823529412
10677	20120803	rew	53	56	0.946428571428571	3	385.792452830189
10678	20090606	pun	16	56	0.285714285714286	35	331.875
10678	20090606	neut	24	56	0.428571428571429	30	343.541666666667
10678	20090606	rew	25	56	0.446428571428571	30	376.04
10678	20101218	pun	47	51	0.92156862745098	3	383.787234042553
10678	20101218	neut	7	9	0.777777777777778	2	437
10678	20101218	rew	33	36	0.916666666666667	3	419.272727272727
10678	20121219	pun	52	56	0.928571428571429	2	393.538461538462
10678	20121219	neut	45	56	0.803571428571429	6	377.422222222222
10678	20121219	rew	52	56	0.928571428571429	4	382.403846153846
10680	20090619	pun	46	56	0.821428571428571	4	472.065217391304
10680	20090619	neut	44	56	0.785714285714286	6	475.545454545455
10680	20090619	rew	37	56	0.660714285714286	8	481
10680	20101222	pun	50	51	0.980392156862745	1	438.24
10680	20101222	neut	9	9	1	0	459.222222222222
10680	20101222	rew	34	36	0.944444444444444	0	404.176470588235
10680	20120615	pun	50	56	0.892857142857143	5	406.26
10680	20120615	neut	52	56	0.928571428571429	2	405.923076923077
10680	20120615	rew	53	56	0.946428571428571	2	419.528301886792
10686	20090821	pun	55	56	0.982142857142857	0	328.981818181818
10686	20090821	neut	55	56	0.982142857142857	0	344.563636363636
10686	20090821	rew	55	56	0.982142857142857	0	327.309090909091
10689	20090611	pun	47	56	0.839285714285714	6	384.212765957447
10689	20090611	neut	50	56	0.892857142857143	5	376.22
10689	20090611	rew	43	56	0.767857142857143	10	389.279069767442
10689	20110310	pun	49	56	0.875	7	391.877551020408
10689	20110310	neut	48	56	0.857142857142857	8	382.708333333333
10689	20110310	rew	55	56	0.982142857142857	0	390.818181818182
10689	20120919	pun	22	56	0.392857142857143	32	438.045454545455
10689	20120919	neut	25	56	0.446428571428571	31	453.4
10689	20120919	rew	24	56	0.428571428571429	31	443.958333333333
10696	20090629	pun	29	56	0.517857142857143	8	426.413793103448
10696	20090629	neut	27	56	0.482142857142857	7	395.222222222222
10696	20090629	rew	28	56	0.5	9	404.678571428571
10697	20090620	pun	51	56	0.910714285714286	3	417.588235294118
10697	20090620	neut	48	56	0.857142857142857	4	413
10697	20090620	rew	50	56	0.892857142857143	4	425.68
10697	20110217	pun	52	56	0.928571428571429	4	391.903846153846
10697	20110217	neut	45	56	0.803571428571429	10	410.6
10697	20110217	rew	49	56	0.875	7	404.979591836735
10697	20120803	pun	39	56	0.696428571428571	15	395.435897435897
10697	20120803	neut	38	56	0.678571428571429	14	377.026315789474
10697	20120803	rew	34	56	0.607142857142857	16	376.382352941176
10699	20090810	pun	53	56	0.946428571428571	1	438.132075471698
10699	20090810	neut	52	56	0.928571428571429	1	431
10699	20090810	rew	50	56	0.892857142857143	0	450.36
10699	20110226	pun	53	56	0.946428571428571	1	403.471698113208
10699	20110226	neut	56	56	1	0	406.642857142857
10699	20110226	rew	53	56	0.946428571428571	3	421.056603773585
10699	20120915	pun	49	56	0.875	4	436.979591836735
10699	20120915	neut	51	56	0.910714285714286	3	429.78431372549
10699	20120915	rew	52	56	0.928571428571429	1	432.557692307692
10700	20090826	pun	56	56	1	0	431.410714285714
10700	20090826	neut	53	56	0.946428571428571	0	429.320754716981
10700	20090826	rew	55	56	0.982142857142857	0	427.890909090909
10700	20110317	pun	54	56	0.964285714285714	0	467.888888888889
10700	20110317	neut	53	56	0.946428571428571	1	451.415094339623
10700	20110317	rew	54	56	0.964285714285714	2	452.018518518519
10700	20120831	pun	56	56	1	0	406.857142857143
